Location,State
Sydney,New South Wales 
Albury,New South Wales 
Armidale,New South Wales 
Bathurst,New South Wales 
Blue Mountains,New South Wales 
Broken Hill,New South Wales 
Campbelltown,New South Wales 
Cessnock,New South Wales 
Dubbo,New South Wales 
Goulburn,New South Wales 
Grafton,New South Wales 
Lithgow,New South Wales 
Liverpool,New South Wales 
Newcastle,New South Wales 
Orange,New South Wales 
Parramatta,New South Wales 
Penrith,New South Wales 
Queanbeyan,New South Wales 
Tamworth,New South Wales 
WaggaWagga,New South Wales 
Wollongong,New South Wales 
Darwin,Northern Territory
Palmerston,Northern Territory
Brisbane,Queensland
Bundaberg,Queensland
Caboolture,Queensland
Cairns,Queensland
Caloundra,Queensland
Gladstone,Queensland
Gold Coast,Queensland
Gympie,Queensland
Hervey Bay,Queensland
Ipswich,Queensland
Logan City,Queensland
Mackay,Queensland
Maryborough,Queensland
Mount Isa,Queensland
Rockhampton,Queensland
Sunshine Coast,Queensland
Toowoomba,Queensland
Townsville,Queensland
Hobart,Tasmania
Burnie,Tasmania
Devonport,Tasmania
Launceston,Tasmania
Melbourne,Victoria
Ararat,Victoria
Bairnsdale,Victoria
Benalla,Victoria
Ballarat,Victoria
Bendigo,Victoria
Dandenong,Victoria
Frankston,Victoria
Geelong,Victoria
Hamilton,Victoria
Horsham,Victoria
Latrobe City,Victoria
Melton,Victoria
Mildura,Victoria
Sale,Victoria
Shepparton,Victoria
Swan Hill,Victoria
Wangaratta,Victoria
Warrnambool,Victoria
Wodonga,Victoria
Perth,Western Australia
Albany,Western Australia
Bunbury,Western Australia
Busselton,Western Australia
Fremantle,Western Australia
Geraldton,Western Australia
Joondalup,Western Australia
Kalgoorlie,Western Australia
Karratha,Western Australia
Mandurah,Western Australia
Rockingham,Western Australia
