bedrooms,sqft_living,price
3,1340,313000
5,3650,2384000
3,1930,342000
3,2000,420000
4,1940,550000
2,880,490000
2,1350,335000
4,2710,482000
3,2430,452500
4,1520,640000
3,1710,463000
4,2920,1400000
3,2330,588500
3,1090,365000
5,2910,1200000
3,1200,242500
3,1570,419000
4,3110,367500
3,1370,257950
3,1180,275000
3,2240,750000
4,1450,435000
3,1750,626000
4,2730,612500
4,1600,495000
3,2090,285000
3,2360,615000
4,2200,698000
5,2820,675000
3,2600,790000
4,1560,382500
4,2860,499950
4,1820,650000
4,2820,625000
4,3630,400000
3,3240,604000
2,800,440000
3,1850,287200
3,1960,403000
3,2390,750000
3,1580,335000
4,1480,260000
2,850,308500
3,1770,439950
2,1210,235000
3,1160,315000
3,1970,437500
3,1930,407500
3,1270,445700
4,3310,838000
4,2710,630000
3,2910,550000
3,2710,805000
3,1800,284000
5,2210,470000
4,1920,430000
4,2190,491500
5,3660,785000
3,1320,385000
2,1630,295000
4,3310,555000
3,2680,459990
4,2730,625000
3,2540,300000
4,2920,625000
2,900,553000
3,1650,379880
3,1010,310000
2,2680,775000
3,2200,365000
4,2530,331950
3,2850,783500
4,2280,628000
3,1900,560000
3,1330,900000
2,1270,531000
4,2170,831000
4,2730,780000
4,2120,755000
3,2490,705380
4,1990,627000
4,3690,865000
2,2540,580000
3,1800,410000
4,2340,485000
2,2110,400000
2,1140,549000
3,1480,620000
2,1410,405000
2,1200,232000
5,3180,800866
3,2160,650000
6,2920,823000
3,2350,770000
3,1560,524000
5,2740,541125
3,1680,670000
5,3090,384900
3,1410,406100
5,4010,1395000
4,3180,736500
3,2010,570000
3,1330,787000
4,2370,328000
5,1840,435000
4,2910,499000
4,2070,501000
4,4340,1090000
2,840,400000
4,1240,220000
4,1390,657100
4,2310,309950
3,1050,300000
5,2550,525888
4,2010,740000
5,1120,340000
3,2230,398750
2,810,206000
5,3190,1030000
3,1670,600000
4,1970,379950
3,1450,287000
7,13540,2280000
3,1880,309950
3,1880,600000
3,1410,418000
4,1480,449250
2,1140,329950
3,1920,245000
4,2910,549000
3,3240,800000
3,1550,249950
5,2050,210000
2,2220,1425000
2,1770,585000
4,2300,615000
3,1800,618500
4,2010,487585
3,1790,509900
4,2440,631625
3,1940,555000
2,1160,340000
4,3400,830000
4,4420,890000
3,1571,366750
3,1620,415000
3,1408,416286
3,3040,478000
5,4490,890000
2,1590,419190
4,2450,712198
4,1440,397000
2,1100,450000
3,1350,353000
4,2150,609000
3,1490,234000
3,2000,561000
2,1030,469000
2,720,329350
5,2020,488000
3,1580,279900
4,2110,606000
4,1300,312000
3,1630,650000
4,3370,1135000
4,1890,325000
4,1520,425000
2,900,219000
3,1050,250000
3,1260,390000
6,3470,475000
4,2290,736000
4,2810,407000
3,1650,272000
3,1640,362000
3,1850,535000
4,2000,284000
3,1410,367500
4,1500,379900
3,2460,520000
3,1010,175000
2,1230,460000
4,2331,345000
5,2240,455000
4,2450,610000
4,3100,563000
4,2060,612500
3,1850,218000
4,1840,404000
4,3740,860000
3,1420,136500
3,1510,313950
3,2130,575000
4,3490,1225000
3,1630,280000
3,1790,515000
4,2000,513000
4,2260,599000
4,3030,685000
3,1310,365000
4,3880,762300
