interaction_type,interaction_mapping
1_on_1_industry_mentorship,career_interaction
call_us_button_clicked,assistance_interaction
career_assistance,career_interaction
career_coach,career_interaction
career_impact,career_interaction
careers,career_interaction
chat_clicked,assistance_interaction
companies,assistance_interaction
download_button_clicked,syllabus_interaction
download_syllabus,syllabus_interaction
emi_partner_click,payment_interaction
emi_plans_clicked,payment_interaction
fee_component_click,payment_interaction
hiring_partners,career_interaction
homepage_upgrad_support_number_clicked,assistance_interaction
industry_projects_case_studies,career_interaction
live_chat_button_clicked,assistance_interaction
payment_amount_toggle_mover,payment_interaction
placement_support,career_interaction
placement_support_banner_tab_clicked,career_interaction
program_structure,syllabus_interaction
programme_curriculum,syllabus_interaction
programme_faculty,career_interaction
request_callback_on_instant_customer_support_cta_clicked,assistance_interaction
shorts_entry_click,social_interaction
social_referral_click,social_interaction
specialisation_tab_clicked,syllabus_interaction
specializations,syllabus_interaction
specilization_click,syllabus_interaction
syllabus,syllabus_interaction
syllabus_expand,syllabus_interaction
syllabus_submodule_expand,syllabus_interaction
tab_career_assistance,assistance_interaction
tab_job_opportunities,career_interaction
tab_student_support,assistance_interaction
view_programs_page,syllabus_interaction
whatsapp_chat_click,assistance_interaction
